rxn_code,mech_id,namerxn,step,smarts_reactant,smarts_product,full_smarts
10.1.1,4253,Bromination,,[Br:1][Br:2].[c;H1;+0:3]:[c;+0:4],[Br;-1;H0:1].[Br;H0:2][c;H1;+0:3]:[c;+1:4],[Br:1][Br:2].[c;H1;+0:3]:[c;+0:4]>>[Br;-1;H0:1].[Br;H0:2][c;H1;+0:3]:[c;+1:4]
10.1.1,4255,Bromination,,[O;H0;+0:1]=[C:2]-[C;+0:3],[O;+1;H1:1]=[C;+0:2]-[C;+0:3],[O;H0;+0:1]=[C:2]-[C;+0:3]>>[O;+1;H1:1]=[C;+0:2]-[C;+0:3]
10.1.1,4271,Bromination,,"[#26,#13:1]([Br:2])([Br:3])[Br:4].[Br:5][Br:6]","[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+1:5][Br:6]","[#26,#13:1]([Br:2])([Br:3])[Br:4].[Br:5][Br:6]>>[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+1:5][Br:6]"
10.1.1,4274,Bromination,,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;H0;+0:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;H0;+0:6]>>[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6]"
10.1.1,4254,Bromination,1,[Br;H0:1][c;H1;+0:2]:[c;+1:3],[Br;H0:1][c;H0;+0:2]:[c;+0:3],[Br;H0:1][c;H1;+0:2]:[c;+1:3]>>[Br;H0:1][c;H0;+0:2]:[c;+0:3]
10.1.1,4256,Bromination,1,[#6:1](-[#6;H2:2]-[#6:3]=[#8:4])=[#8:5],[#6:1](-[#6;-1;H1:2]-[#6:3]=[#8:4])=[#8:5],[#6:1](-[#6;H2:2]-[#6:3]=[#8:4])=[#8:5]>>[#6:1](-[#6;-1;H1:2]-[#6:3]=[#8:4])=[#8:5]
10.1.1,4257,Bromination,1,[#6:1](-[#6;H1:2]-[#6:3]=[#8:4])=[#8:5],[#6:1](-[#6;-1;H0:2]-[#6:3]=[#8:4])=[#8:5],[#6:1](-[#6;H1:2]-[#6:3]=[#8:4])=[#8:5]>>[#6:1](-[#6;-1;H0:2]-[#6:3]=[#8:4])=[#8:5]
10.1.1,4258,Bromination,1,[#6:1](-[#6;H3:2])=[#8:3],[#6:1](-[#6;-1;H2:2])=[#8:3],[#6:1](-[#6;H3:2])=[#8:3]>>[#6:1](-[#6;-1;H2:2])=[#8:3]
10.1.1,4259,Bromination,1,[#6:1](-[#6;H2:2])=[#8:3],[#6:1](-[#6;-1;H1:2])=[#8:3],[#6:1](-[#6;H2:2])=[#8:3]>>[#6:1](-[#6;-1;H1:2])=[#8:3]
10.1.1,4260,Bromination,1,[#6:1](-[#6;H1:2])=[#8:3],[#6:1](-[#6;-1;H0:2])=[#8:3],[#6:1](-[#6;H1:2])=[#8:3]>>[#6:1](-[#6;-1;H0:2])=[#8:3]
10.1.1,4261,Bromination,1,[#6:1](-[#6;H3:2])#[#7:3],[#6:1](-[#6;-1;H2:2])#[#7:3],[#6:1](-[#6;H3:2])#[#7:3]>>[#6:1](-[#6;-1;H2:2])#[#7:3]
10.1.1,4262,Bromination,1,[#6:1](-[#6;H2:2])#[#7:3],[#6:1](-[#6;-1;H1:2])#[#7:3],[#6:1](-[#6;H2:2])#[#7:3]>>[#6:1](-[#6;-1;H1:2])#[#7:3]
10.1.1,4263,Bromination,1,[#6:1](-[#6;H2:2]-[#6:3]=[#8:4])=[#8;+1;H1:5],[#6:1](=[#6;H1;+0:2]-[#6:3]=[#8:4])-[#8;H1;+0:5],[#6:1](-[#6;H2:2]-[#6:3]=[#8:4])=[#8;+1;H1:5]>>[#6:1](=[#6;H1;+0:2]-[#6:3]=[#8:4])-[#8;H1;+0:5]
10.1.1,4264,Bromination,1,[#6:1](-[#6;H1:2]-[#6:3]=[#8:4])=[#8;+1;H1:5],[#6:1](=[#6;H0;+0:2]-[#6:3]=[#8:4])-[#8;H1;+0:5],[#6:1](-[#6;H1:2]-[#6:3]=[#8:4])=[#8;+1;H1:5]>>[#6:1](=[#6;H0;+0:2]-[#6:3]=[#8:4])-[#8;H1;+0:5]
10.1.1,4265,Bromination,1,[#6:1](-[#6;H3:2])=[#8;+1;H1:3],[#6:1](=[#6;H2;+0:2])-[#8;H1;+0:3],[#6:1](-[#6;H3:2])=[#8;+1;H1:3]>>[#6:1](=[#6;H2;+0:2])-[#8;H1;+0:3]
10.1.1,4266,Bromination,1,[#6:1](-[#6;H2:2])=[#8;+1;H1:3],[#6:1](=[#6;H1;+0:2])-[#8;H1;+0:3],[#6:1](-[#6;H2:2])=[#8;+1;H1:3]>>[#6:1](=[#6;H1;+0:2])-[#8;H1;+0:3]
10.1.1,4267,Bromination,1,[#6:1](-[#6;H1:2])=[#8;+1;H1:3],[#6:1](=[#6;H0;+0:2])-[#8;H1;+0:3],[#6:1](-[#6;H1:2])=[#8;+1;H1:3]>>[#6:1](=[#6;H0;+0:2])-[#8;H1;+0:3]
10.1.1,4272,Bromination,1,"[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+1:5][Br:6].[c;H1;+0:7]:[a;+0:8]","[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+0:5].[Br;H0:6]-[c;H1;+0:7]:[a;+1:8]","[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+1:5][Br:6].[c;H1;+0:7]:[a;+0:8]>>[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+0:5].[Br;H0:6]-[c;H1;+0:7]:[a;+1:8]"
10.1.1,4275,Bromination,1,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O:6].[c;H1;+0:7]:[a;+0:8]","[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:3]-[O;-1:4])[C:5]=[O:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O:6].[c;H1;+0:7]:[a;+0:8]>>[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:3]-[O;-1:4])[C:5]=[O:6]"
10.1.1,4276,Bromination,1,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6].[c;H1;+0:7]:[a;+0:8]","[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:5]-[O;H1;+0:6])[C:3]=[O:4]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6].[c;H1;+0:7]:[a;+0:8]>>[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:5]-[O;H1;+0:6])[C:3]=[O:4]"
10.1.1,4268,Bromination,2,[Br:1][Br:2].[O;H1:3]-[C:4]=[C;+0:5],[Br:1][C;+0:5]-[C:4]=[O;+1;H1:3].[Br;-1;H0:2],[Br:1][Br:2].[O;H1:3]-[C:4]=[C;+0:5]>>[Br:1][C;+0:5]-[C:4]=[O;+1;H1:3].[Br;-1;H0:2]
10.1.1,4269,Bromination,2,[Br:1][Br:2].[O;H0:3]=[C:4]-[C;-1:5],[Br:1][C;+0:5]-[C:4]=[O;H0:3].[Br;-1;H0:2],[Br:1][Br:2].[O;H0:3]=[C:4]-[C;-1:5]>>[Br:1][C;+0:5]-[C:4]=[O;H0:3].[Br;-1;H0:2]
10.1.1,4273,Bromination,2,[#26;-1:1]([Br;D1:2])([Br;D1:3])([Br;D1:4])[Br;D1;H0;+0:5].[Br;H0:6]-[c;H1;+0:7]:[a;+1:8],[#26;+0:1]([Br:2])([Br:3])[Br:4].[Br;H1;+0:5].[Br;H0:6]-[c;H0;+0:7]:[a;+0:8],[#26;-1:1]([Br;D1:2])([Br;D1:3])([Br;D1:4])[Br;D1;H0;+0:5].[Br;H0:6]-[c;H1;+0:7]:[a;+1:8]>>[#26;+0:1]([Br:2])([Br:3])[Br:4].[Br;H1;+0:5].[Br;H0:6]-[c;H0;+0:7]:[a;+0:8]
10.1.1,4277,Bromination,2,"[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;-1:6])[C:7]=[O:8]","[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8]","[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;-1:6])[C:7]=[O:8]>>[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8]"
10.1.1,4278,Bromination,2,"[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;H1;+0:6])[C:7]=[O:8]","[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:7]=[O:8])[C:5]=[O;+1;H1:6]","[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;H1;+0:6])[C:7]=[O:8]>>[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:7]=[O:8])[C:5]=[O;+1;H1:6]"
10.1.1,4270,Bromination,3,[Br:1][C:2]-[C:3]=[O;+1;H1:4],[Br:1][C:2]-[C:3]=[O;H0;+0:4],[Br:1][C:2]-[C:3]=[O;+1;H1:4]>>[Br:1][C:2]-[C:3]=[O;H0;+0:4]
10.1.1,4279,Bromination,3,[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;+1;H1:5],[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;H0;+0:5],[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;+1;H1:5]>>[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;H0;+0:5]
10.1.2,4280,Chlorination,,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;H0;+0:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;H0;+0:6]>>[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6]"
10.1.2,4286,Chlorination,,"[#26,#13:1]([Cl:2])([Cl:3])[Cl:4].[Cl:5][Cl:6]","[#26,#13;-1:1]([Cl:2])([Cl:3])([Cl:4])[Cl;+1:5][Cl:6]","[#26,#13:1]([Cl:2])([Cl:3])[Cl:4].[Cl:5][Cl:6]>>[#26,#13;-1:1]([Cl:2])([Cl:3])([Cl:4])[Cl;+1:5][Cl:6]"
10.1.2,4281,Chlorination,1,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O:6].[c;H1;+0:7]:[a;+0:8]","[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:3]-[O;-1:4])[C:5]=[O:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O:6].[c;H1;+0:7]:[a;+0:8]>>[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:3]-[O;-1:4])[C:5]=[O:6]"
10.1.2,4282,Chlorination,1,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6].[c;H1;+0:7]:[a;+0:8]","[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:5]-[O;H1;+0:6])[C:3]=[O:4]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6].[c;H1;+0:7]:[a;+0:8]>>[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:5]-[O;H1;+0:6])[C:3]=[O:4]"
10.1.2,4287,Chlorination,1,"[#26,#13;-1:1]([Cl:2])([Cl:3])([Cl:4])[Cl;+1:5][Cl:6].[c;H1;+0:7]:[a;+0:8]","[#26,#13;-1:1]([Cl:2])([Cl:3])([Cl:4])[Cl;+0:5].[Cl;H0:6]-[c;H1;+0:7]:[a;+1:8]","[#26,#13;-1:1]([Cl:2])([Cl:3])([Cl:4])[Cl;+1:5][Cl:6].[c;H1;+0:7]:[a;+0:8]>>[#26,#13;-1:1]([Cl:2])([Cl:3])([Cl:4])[Cl;+0:5].[Cl;H0:6]-[c;H1;+0:7]:[a;+1:8]"
10.1.2,4283,Chlorination,2,"[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;-1:6])[C:7]=[O:8]","[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8]","[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;-1:6])[C:7]=[O:8]>>[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8]"
10.1.2,4284,Chlorination,2,"[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;H1;+0:6])[C:7]=[O:8]","[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:7]=[O:8])[C:5]=[O;+1;H1:6]","[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;H1;+0:6])[C:7]=[O:8]>>[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:7]=[O:8])[C:5]=[O;+1;H1:6]"
10.1.2,4288,Chlorination,2,[#26;-1:1]([Cl;D1:2])([Cl;D1:3])([Cl;D1:4])[Cl;D1;H0;+0:5].[Cl;H0:6]-[c;H1;+0:7]:[a;+1:8],[#26;+0:1]([Cl:2])([Cl:3])[Cl:4].[Cl;H1;+0:5].[Cl;H0:6]-[c;H0;+0:7]:[a;+0:8],[#26;-1:1]([Cl;D1:2])([Cl;D1:3])([Cl;D1:4])[Cl;D1;H0;+0:5].[Cl;H0:6]-[c;H1;+0:7]:[a;+1:8]>>[#26;+0:1]([Cl:2])([Cl:3])[Cl:4].[Cl;H1;+0:5].[Cl;H0:6]-[c;H0;+0:7]:[a;+0:8]
10.1.2,4285,Chlorination,3,[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;+1;H1:5],[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;H0;+0:5],[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;+1;H1:5]>>[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;H0;+0:5]
10.1.4,4316,Iodination,,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;H0;+0:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;H0;+0:6]>>[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6]"
10.1.4,4322,Iodination,,[I;+0:1]-[I;+0:2].[O;H1;+0:3]-[O;H1;+0:4],[I:2]-[O;+1;H1:3]-[O;H1;+0:4].[I;-1:1],[I;+0:1]-[I;+0:2].[O;H1;+0:3]-[O;H1;+0:4]>>[I:2]-[O;+1;H1:3]-[O;H1;+0:4].[I;-1:1]
10.1.4,4317,Iodination,1,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O:6].[c;H1;+0:7]:[a;+0:8]","[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:3]-[O;-1:4])[C:5]=[O:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O:6].[c;H1;+0:7]:[a;+0:8]>>[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:3]-[O;-1:4])[C:5]=[O:6]"
10.1.4,4318,Iodination,1,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6].[c;H1;+0:7]:[a;+0:8]","[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:5]-[O;H1;+0:6])[C:3]=[O:4]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6].[c;H1;+0:7]:[a;+0:8]>>[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:5]-[O;H1;+0:6])[C:3]=[O:4]"
10.1.4,4323,Iodination,1,[I:1]-[O;+1;H1:2]-[O;H1;+0:3].[I;-1:4],[I:1]-[O;H1;+0:2].[I;+0:4]-[O;H1;+0:3],[I:1]-[O;+1;H1:2]-[O;H1;+0:3].[I;-1:4]>>[I:1]-[O;H1;+0:2].[I;+0:4]-[O;H1;+0:3]
10.1.4,4319,Iodination,2,"[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;-1:6])[C:7]=[O:8]","[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8]","[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;-1:6])[C:7]=[O:8]>>[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8]"
10.1.4,4320,Iodination,2,"[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;H1;+0:6])[C:7]=[O:8]","[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:7]=[O:8])[C:5]=[O;+1;H1:6]","[Cl,Br,I;H0:1]-[c;H1;+0:2]:[a;+1:3].[N;H0;+0:4](=[C:5]-[O;H1;+0:6])[C:7]=[O:8]>>[Cl,Br,I;H0:1]-[c;H0;+0:2]:[a;+0:3].[N;H1;+0:4]([C:7]=[O:8])[C:5]=[O;+1;H1:6]"
10.1.4,4324,Iodination,2,[I:1]-[O;H1;+0:2].[I;+0:3]-[O;H1;+0:4],[I:1]-[O;-1;H0:2].[I;+0:3]-[O;+1;H2:4],[I:1]-[O;H1;+0:2].[I;+0:3]-[O;H1;+0:4]>>[I:1]-[O;-1;H0:2].[I;+0:3]-[O;+1;H2:4]
10.1.4,4321,Iodination,3,[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;+1;H1:5],[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;H0;+0:5],[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;+1;H1:5]>>[N;H1;+0:1]([C:2]=[O:3])[C:4]=[O;H0;+0:5]
10.1.4,4325,Iodination,3,[I;+0:1]-[O;+1;H2:2].[c;H1;+0:3]:[a;+0:4],[I;H0:1][c;H1;+0:3]:[a;+1:4].[O;H2;+0:2],[I;+0:1]-[O;+1;H2:2].[c;H1;+0:3]:[a;+0:4]>>[I;H0:1][c;H1;+0:3]:[a;+1:4].[O;H2;+0:2]
10.1.4,4326,Iodination,4,[I:1]-[O;-1;H0:2].[I;H0:3][c;H1;+0:4]:[a;+1:5],[I:1]-[O;H1;+0:2].[I;H0:3][c;H0;+0:4]:[a;+0:5],[I:1]-[O;-1;H0:2].[I;H0:3][c;H1;+0:4]:[a;+1:5]>>[I:1]-[O;H1;+0:2].[I;H0:3][c;H0;+0:4]:[a;+0:5]
10.1.5,5446,Wohl-Ziegler bromination,,[#6:1]-[C:2](=[O:3])-[O:4]-[O:5]-[C:6](-[#6:7])=[O:8],[#6;H0;+0:1].[#6;H0;+0:7].[O:4]=[C:2]=[O:3].[O:5]=[C:6]=[O:8],[#6:1]-[C:2](=[O:3])-[O:4]-[O:5]-[C:6](-[#6:7])=[O:8]>>[#6;H0;+0:1].[#6;H0;+0:7].[O:4]=[C:2]=[O:3].[O:5]=[C:6]=[O:8]
10.1.5,5447,Wohl-Ziegler bromination,,[N:1](=[N:2]-[*:3])-[*:4],[N:2]#[N:3].[H0;+0:4].[H0;+0:3],[N:1](=[N:2]-[*:3])-[*:4]>>[N:2]#[N:3].[H0;+0:4].[H0;+0:3]
10.1.5,5473,Wohl-Ziegler bromination,,[Br:1][N:2]([C:3]=[O:4])[C:5]=[O:6],[Br;H0;+0:1].[N;H0;+0:2]([C:3]=[O:4])[C:5]=[O:6],[Br:1][N:2]([C:3]=[O:4])[C:5]=[O:6]>>[Br;H0;+0:1].[N;H0;+0:2]([C:3]=[O:4])[C:5]=[O:6]
10.1.5,5448,Wohl-Ziegler bromination,1,[#6;v3;H0;+0:1].[Br:2][N:3]([C:4]=[O:5])[C:6]=[O:7],[#6;H0;+0:1]-[O:7]-[C:6]=[N:3][C:4]=[O:5].[Br;H0;+0:2],[#6;v3;H0;+0:1].[Br:2][N:3]([C:4]=[O:5])[C:6]=[O:7]>>[#6;H0;+0:1]-[O:7]-[C:6]=[N:3][C:4]=[O:5].[Br;H0;+0:2]
10.1.5,5474,Wohl-Ziegler bromination,1,[Br;D0;H0;+0:1].[C:2](=[C:3])-[C;D4;H3;+0:4],[Br;H1;+0:1].[C:2](=[C:3])-[C;X3;v3;H2;D3;+0:4],[Br;D0;H0;+0:1].[C:2](=[C:3])-[C;D4;H3;+0:4]>>[Br;H1;+0:1].[C:2](=[C:3])-[C;X3;v3;H2;D3;+0:4]
10.1.5,5475,Wohl-Ziegler bromination,1,[#6:1](=[#6:2])-[C;H2;+0:3].[Br;D0;H0;+0:4],[#6:1](=[#6:2])-[C;H1;D2;+0:3].[Br;H1;+0:4],[#6:1](=[#6:2])-[C;H2;+0:3].[Br;D0;H0;+0:4]>>[#6:1](=[#6:2])-[C;H1;D2;+0:3].[Br;H1;+0:4]
10.1.5,5476,Wohl-Ziegler bromination,1,[#6:1](=[#6:2])-[C;H1;+0:3].[Br;D0;H0;+0:4],[#6:1](=[#6:2])-[C;D3;H0;+0:3].[Br;H1;+0:4],[#6:1](=[#6:2])-[C;H1;+0:3].[Br;D0;H0;+0:4]>>[#6:1](=[#6:2])-[C;D3;H0;+0:3].[Br;H1;+0:4]
10.1.5,5477,Wohl-Ziegler bromination,1,[#6:1](=[#6:2])-[C;H3;+0:3].[Br;D0;H0;+0:4],[#6:1](-[#6;D3;+0:2])=[C;H2;+0:3].[Br;H1;+0:4],[#6:1](=[#6:2])-[C;H3;+0:3].[Br;D0;H0;+0:4]>>[#6:1](-[#6;D3;+0:2])=[C;H2;+0:3].[Br;H1;+0:4]
10.1.5,5478,Wohl-Ziegler bromination,1,[#6:1](=[#6:2])-[C;H2;+0:3].[Br;D0;H0;+0:4],[#6:1](-[#6;D3;+0:2])=[C;H1;+0:3].[Br;H1;+0:4],[#6:1](=[#6:2])-[C;H2;+0:3].[Br;D0;H0;+0:4]>>[#6:1](-[#6;D3;+0:2])=[C;H1;+0:3].[Br;H1;+0:4]
10.1.5,5479,Wohl-Ziegler bromination,1,[#6:1](=[#6:2])-[C;H1;+0:3].[Br;D0;H0;+0:4],[#6:1](-[#6;D3;+0:2])=[C;H0;+0:3].[Br;H1;+0:4],[#6:1](=[#6:2])-[C;H1;+0:3].[Br;D0;H0;+0:4]>>[#6:1](-[#6;D3;+0:2])=[C;H0;+0:3].[Br;H1;+0:4]
10.1.5,5480,Wohl-Ziegler bromination,1,[#6:1](:[#6:2])-[C;H3;+0:3].[Br;D0;H0;+0:4],[#6:1](:[#6:2])-[C;H2;D1;+0:3].[Br;H1;+0:4],[#6:1](:[#6:2])-[C;H3;+0:3].[Br;D0;H0;+0:4]>>[#6:1](:[#6:2])-[C;H2;D1;+0:3].[Br;H1;+0:4]
10.1.5,5481,Wohl-Ziegler bromination,1,[#6:1](:[#6:2])-[C;H2;+0:3].[Br;D0;H0;+0:4],[#6:1](:[#6:2])-[C;H1;D2;+0:3].[Br;H1;+0:4],[#6:1](:[#6:2])-[C;H2;+0:3].[Br;D0;H0;+0:4]>>[#6:1](:[#6:2])-[C;H1;D2;+0:3].[Br;H1;+0:4]
10.1.5,5482,Wohl-Ziegler bromination,1,[#6:1](:[#6:2])-[C;H1;+0:3].[Br;D0;H0;+0:4],[#6:1](:[#6:2])-[C;D3;H0;+0:3].[Br;H1;+0:4],[#6:1](:[#6:2])-[C;H1;+0:3].[Br;D0;H0;+0:4]>>[#6:1](:[#6:2])-[C;D3;H0;+0:3].[Br;H1;+0:4]
10.1.5,5483,Wohl-Ziegler bromination,1,"[#6:1](=[#8,#7:2])-[C;H3;+0:3].[Br;D0;H0;+0:4]","[#6:1](=[#8,#7:2])-[C;H2;D1;+0:3].[Br;H1;+0:4]","[#6:1](=[#8,#7:2])-[C;H3;+0:3].[Br;D0;H0;+0:4]>>[#6:1](=[#8,#7:2])-[C;H2;D1;+0:3].[Br;H1;+0:4]"
10.1.5,5484,Wohl-Ziegler bromination,1,"[#6:1](=[#8,#7:2])-[C;H2;+0:3].[Br;D0;H0;+0:4]","[#6:1](=[#8,#7:2])-[C;H1;D2;+0:3].[Br;H1;+0:4]","[#6:1](=[#8,#7:2])-[C;H2;+0:3].[Br;D0;H0;+0:4]>>[#6:1](=[#8,#7:2])-[C;H1;D2;+0:3].[Br;H1;+0:4]"
10.1.5,5485,Wohl-Ziegler bromination,1,"[#6:1](=[#8,#7:2])-[C;H1;+0:3].[Br;D0;H0;+0:4]","[#6:1](=[#8,#7:2])-[C;D3;H0;+0:3].[Br;H1;+0:4]","[#6:1](=[#8,#7:2])-[C;H1;+0:3].[Br;D0;H0;+0:4]>>[#6:1](=[#8,#7:2])-[C;D3;H0;+0:3].[Br;H1;+0:4]"
10.1.5,5486,Wohl-Ziegler bromination,1,[#6:1](=[#6:2])-[C;H3;+0:3].[N;!$([N]-[Br]);H0;+0:4]([C:5]=[O:6])[C:7]=[O:8],[#6:1](=[#6:2])-[C;H2;D1;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8],[#6:1](=[#6:2])-[C;H3;+0:3].[N;!$([N]-[Br]);H0;+0:4]([C:5]=[O:6])[C:7]=[O:8]>>[#6:1](=[#6:2])-[C;H2;D1;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8]
10.1.5,5487,Wohl-Ziegler bromination,1,[#6:1](=[#6:2])-[C;H2;+0:3].[N;!$([N]-[Br]);H0;+0:4]([C:5]=[O:6])[C:7]=[O:8],[#6:1](=[#6:2])-[C;H1;D2;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8],[#6:1](=[#6:2])-[C;H2;+0:3].[N;!$([N]-[Br]);H0;+0:4]([C:5]=[O:6])[C:7]=[O:8]>>[#6:1](=[#6:2])-[C;H1;D2;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8]
10.1.5,5488,Wohl-Ziegler bromination,1,[#6:1](=[#6:2])-[C;H1;+0:3].[N;!$([N]-[Br]);H0;+0:4]([C:5]=[O:6])[C:7]=[O:8],[#6:1](=[#6:2])-[C;D3;H0;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8],[#6:1](=[#6:2])-[C;H1;+0:3].[N;!$([N]-[Br]);H0;+0:4]([C:5]=[O:6])[C:7]=[O:8]>>[#6:1](=[#6:2])-[C;D3;H0;+0:3].[N;H1;+0:4]([C:5]=[O:6])[C:7]=[O:8]
